"","DatabaseID","ratingType","condition","Sent","rep","Count","M","SD"
"330","Sub16","Int","conv","tsent","5",4,97.75,3.86221007541882
"331","Sub16","Int","lessClear","bsent","1",3,59,52.373657500694
"332","Sub16","Int","lessClear","bsent","2",5,66.8,46.8476253400319
"333","Sub16","Int","lessClear","bsent","3",4,82.25,32.887434277142
"334","Sub16","Int","lessClear","bsent","4",4,95.75,5.31507290636732
"335","Sub16","Int","lessClear","bsent","5",3,85,15.52417469626
"336","Sub16","Int","lessClear","ksent","1",3,83.6666666666667,18.2300118851671
"337","Sub16","Int","lessClear","ksent","2",4,55,48.8944441288237
"338","Sub16","Int","lessClear","ksent","3",3,86.6666666666667,15.2752523165195
"339","Sub16","Int","lessClear","ksent","4",3,82,16.5227116418583
"340","Sub16","Int","lessClear","ksent","5",3,77,39.8371685740842
"341","Sub16","Int","lessClear","tsent","1",4,57.75,43.00678241084
"342","Sub16","Int","lessClear","tsent","2",4,64,25.6255081250434
"343","Sub16","Int","lessClear","tsent","3",3,99.6666666666667,0.577350269189626
"344","Sub16","Int","lessClear","tsent","4",3,99.3333333333333,1.15470053837925
"345","Sub16","Int","lessClear","tsent","5",4,88,13.8804418757713
"346","Sub16","Int","moreClear","bsent","1",3,72.6666666666667,32.316146634977
"347","Sub16","Int","moreClear","bsent","2",5,85,20.5426385841741
"348","Sub16","Int","moreClear","bsent","3",4,86,24.1660919471891
"349","Sub16","Int","moreClear","bsent","4",4,93.75,12.5
"350","Sub16","Int","moreClear","bsent","5",3,97.6666666666667,4.04145188432738
"351","Sub16","Int","moreClear","ksent","1",3,100,0
"352","Sub16","Int","moreClear","ksent","2",4,83,29.5183558711073
"353","Sub16","Int","moreClear","ksent","3",3,99,1.73205080756888
"354","Sub16","Int","moreClear","ksent","4",3,91.3333333333333,8.50490054811538
"355","Sub16","Int","moreClear","ksent","5",3,80.6666666666667,33.4863156129983
"356","Sub16","Int","moreClear","tsent","1",4,100,0
"357","Sub16","Int","moreClear","tsent","2",4,96.75,6.5
"358","Sub16","Int","moreClear","tsent","3",3,88.6666666666667,12.6622799421484
"359","Sub16","Int","moreClear","tsent","4",3,100,0
"360","Sub16","Int","moreClear","tsent","5",4,100,0
"361","Sub17","AP","conv","bsent","1",4,94.75,7.54431353183752
"362","Sub17","AP","conv","bsent","2",4,69.5,47.4798202748634
"363","Sub17","AP","conv","bsent","3",3,75.6666666666667,15.9478316185409
"364","Sub17","AP","conv","bsent","4",3,84.6666666666667,7.02376916856849
"365","Sub17","AP","conv","bsent","5",3,37.3333333333333,10.785793124909
"366","Sub17","AP","conv","ksent","1",1,100,NA
"367","Sub17","AP","conv","ksent","2",3,98.6666666666667,2.3094010767585
"368","Sub17","AP","conv","ksent","3",4,87.5,8.18535277187245
"369","Sub17","AP","conv","ksent","4",4,72,35.8608421540822
"370","Sub17","AP","conv","ksent","5",4,89.75,14.1509716980849
"371","Sub17","AP","conv","tsent","1",1,100,NA
"372","Sub17","AP","conv","tsent","2",4,73.75,34.4516569509605
"373","Sub17","AP","conv","tsent","3",3,81.3333333333333,14.9777612924406
"374","Sub17","AP","conv","tsent","4",3,77.6666666666667,10.5987420637231
"375","Sub17","AP","conv","tsent","5",3,92,9.8488578017961
"376","Sub17","AP","lessClear","bsent","1",4,89.5,21
"377","Sub17","AP","lessClear","bsent","2",4,90.75,10.688779163216
"378","Sub17","AP","lessClear","bsent","3",3,82.6666666666667,15.3079500042734
"379","Sub17","AP","lessClear","bsent","4",3,72.6666666666667,15.3079500042734
"380","Sub17","AP","lessClear","bsent","5",3,36,20.6639783197718
"381","Sub17","AP","lessClear","ksent","1",1,100,NA
"382","Sub17","AP","lessClear","ksent","2",3,85,13.4536240470737
"383","Sub17","AP","lessClear","ksent","3",4,73,16.5730705262081
