"","ListenerID","StartDate","EndDate","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","inUS","english","age","gender","Q2_8_TEXT","race","Q3_7_TEXT","ethnicity","Q1.2","Headphones","Q2.2","Practice1_4","Practice1_5","Practice1_6","Practice2_15","Practice2_16","Practice2_17","Q5"
"189","L189","2022-01-26 17:48:12","2022-01-26 17:53:44","100","331","True","2022-01-26 17:53:44","R_2t6hp5udLF63czW","anonymous","EN","Yes","Yes, it is my native language",38,"Man","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","90","100","95","55","100","84","Yes, I am ready to begin."
"190","L190","2022-01-26 17:48:04","2022-01-26 17:53:50","100","345","True","2022-01-26 17:53:50","R_2SCXjaXZEIcd9j4","anonymous","EN","Yes","Yes, it is my native language",22,"Woman","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","100","Yes, I am ready to begin."
"191","L191","2022-01-26 17:48:18","2022-01-26 17:53:55","100","336","True","2022-01-26 17:53:55","R_7R4l3tDKGor4nVT","anonymous","EN","Yes","Yes, it is my native language",65,"Man","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","100","Yes, I am ready to begin."
"192","L192","2022-01-26 17:48:07","2022-01-26 17:54:02","100","355","True","2022-01-26 17:54:02","R_1F4Wr137wvCDMMQ","anonymous","EN","Yes","Yes, it is my native language",23,"Woman","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","73","64","68","32","48","70","Yes, I am ready to begin."
"193","L193","2022-01-26 17:47:47","2022-01-26 17:54:05","100","378","True","2022-01-26 17:54:06","R_OGMDJom6SFSq6yJ","anonymous","EN","Yes","Yes, it is my native language",26,"Man","","White/Caucasian","","Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","100","Yes, I am ready to begin."
"194","L194","2022-01-26 17:47:58","2022-01-26 17:54:15","100","377","True","2022-01-26 17:54:16","R_PNUjmMs9vieaHlv","anonymous","EN","Yes","Yes, it is my native language",70,"Woman","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","94","100","100","Yes, I am ready to begin."
"195","L195","2022-01-26 17:48:23","2022-01-26 17:54:36","100","372","True","2022-01-26 17:54:36","R_1lymXBlp8nEiPID","anonymous","EN","Yes","Yes, it is my native language",56,"Man","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","95","94","94","Yes, I am ready to begin."
"196","L196","2022-01-26 17:48:12","2022-01-26 17:54:44","100","392","True","2022-01-26 17:54:45","R_2WNAjmxwdXgotGN","anonymous","EN","Yes","Yes, it is my second language",24,"Woman","","Biracial or Multiracial","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","100","Yes, I am ready to begin."
"197","L197","2022-01-26 17:48:12","2022-01-26 17:54:56","100","403","True","2022-01-26 17:54:56","R_sFLvhJwfS63Yxm9","anonymous","EN","Yes","Yes, it is my native language",54,"Woman","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","91","100","100","Yes, I am ready to begin."
"198","L198","2022-01-26 17:48:13","2022-01-26 17:55:30","100","436","True","2022-01-26 17:55:30","R_2yruCa2p462dI37","anonymous","EN","Yes","Yes, it is my native language",29,"Woman","","White/Caucasian","","Hispanic/Latino","Yes, I can hear the audio.","","","100","100","95","100","95","100","Yes, I am ready to begin."
"199","L199","2022-01-26 17:50:32","2022-01-26 17:55:42","100","310","True","2022-01-26 17:55:43","R_2feN87FQvLAaTDK","anonymous","EN","Yes","Yes, it is my native language",30,"Woman","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","81","89","89","88","90","93","Yes, I am ready to begin."
"200","L200","2022-01-26 17:51:36","2022-01-26 17:55:56","100","259","True","2022-01-26 17:55:56","R_25M8VuDBRkcVkel","anonymous","EN","Yes","Yes, it is my native language",44,"Woman","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","100","100","100","Yes, I am ready to begin."
"201","L201","2022-01-26 17:48:25","2022-01-26 17:56:32","100","487","True","2022-01-26 17:56:33","R_siGKHrDffnXu0ud","anonymous","EN","Yes","Yes, it is my native language",27,"Man","","Asian American","","Not Hispanic/Latino","Yes, I can hear the audio.","","","78","100","100","80","100","93","Yes, I am ready to begin."
"202","L202","2022-01-26 17:47:54","2022-01-26 17:56:51","100","536","True","2022-01-26 17:56:52","R_3syvA9INyFfgczN","anonymous","EN","Yes","Yes, it is my native language",42,"Man","","White/Caucasian","","Not Hispanic/Latino","Yes, I can hear the audio.","","","100","100","100","96","86","94","Yes, I am ready to begin."
